account,device_type,log_date,device,unit,value,comment
681e3c0c5571c3cd6e0f011e,bombilla,76bd41b2-153f-11f0-983e-30d6548fc17f,d1180f11-54fb-590b-9351-8c97f3d9ab8f,state,error,
681e3c0c5571c3cd6e0f011e,bombilla,d31475b2-15c0-11f0-8519-42e6e144e9d8,d1180f11-54fb-590b-9351-8c97f3d9ab8f,on_time,00:28,
681e3c0c5571c3cd6e0f011e,bombilla,b26513b2-15f2-11f0-8327-4a8f346b82eb,1beb8d1f-653a-51ad-8cfd-c980141ce267,kWh,0.008,
681e3c0c5571c3cd6e0f011e,bombilla,0963ddb2-154c-11f0-b963-969f4b1bf459,1beb8d1f-653a-51ad-8cfd-c980141ce267,state,error,
681e3c0c5571c3cd6e0f011e,bombilla,a92967b2-155c-11f0-bfe8-0e13710bdb37,1beb8d1f-653a-51ad-8cfd-c980141ce267,on_time,06:23,
681e3c0c5571c3cd6e0f011e,bombilla,cdf0ffb2-159b-11f0-8da6-e7addf6518cf,213b0676-26ca-5b71-b529-9faa2c31c8f1,kWh,0.009,
681e3c0c5571c3cd6e0f011e,bombilla,560ddfb2-1571-11f0-a2b0-fd73c8219470,213b0676-26ca-5b71-b529-9faa2c31c8f1,state,modo eco,
681e3c0c5571c3cd6e0f011e,bombilla,fcc3a1b2-15ac-11f0-a6f4-2385f178eaae,213b0676-26ca-5b71-b529-9faa2c31c8f1,on_time,00:38,
681e3c0c5571c3cd6e0f011e,cerradura,a169d1b2-15f5-11f0-abd5-34717526ff61,a10a4cab-c77d-51e1-bd68-29b3a1d5cd5e,intentos_forcejeo,,
681e3c0c5571c3cd6e0f011e,cerradura,d46285b2-1561-11f0-9da6-334afff01208,a10a4cab-c77d-51e1-bd68-29b3a1d5cd5e,hora_apertura,2025-04-09 16:49:56.772293,
681e3c0c5571c3cd6e0f011e,cerradura,6f407bb2-15c5-11f0-bfcd-31a91e301cbe,50681a06-162e-531e-a00b-bc0cd31fb1c8,intentos_forcejeo,,
681e3c0c5571c3cd6e0f011e,cerradura,cd6b5fb2-15c1-11f0-9b84-197e3831e635,50681a06-162e-531e-a00b-bc0cd31fb1c8,hora_apertura,2025-04-10 10:01:56.772293,
681e3c0c5571c3cd6e0f0174,aire_acondicionado,c7c249b2-15c2-11f0-b7af-9a06e0ce1995,4b7d595d-7492-5e9e-aba9-933bce779330,celsius,19.3,
681e3c0c5571c3cd6e0f0174,aire_acondicionado,a65165b2-15a2-11f0-968b-7bb12575c243,4b7d595d-7492-5e9e-aba9-933bce779330,kWh,1.836,
681e3c0c5571c3cd6e0f0174,aire_acondicionado,cd2f7db2-1549-11f0-8822-9ee80fd14452,4b7d595d-7492-5e9e-aba9-933bce779330,locacion,sala,
681e3c0c5571c3cd6e0f0174,aire_acondicionado,f44289b2-15f3-11f0-a244-53f67f4facb2,4b7d595d-7492-5e9e-aba9-933bce779330,state,error,
681e3c0c5571c3cd6e0f0174,aire_acondicionado,68d5e3b2-1574-11f0-8ea9-8ee95f235da3,4b7d595d-7492-5e9e-aba9-933bce779330,on_time,09:34,
681e3c0c5571c3cd6e0f0174,bombilla,39fc53b2-15ee-11f0-a5bf-4584a11dd181,1b01e9c1-2c5c-51e7-af9d-e55430da8588,kWh,0.011,
681e3c0c5571c3cd6e0f0174,bombilla,856621b2-155c-11f0-b7a4-c39db83e45d0,1b01e9c1-2c5c-51e7-af9d-e55430da8588,state,encendido,
681e3c0c5571c3cd6e0f0174,bombilla,482681b2-15a6-11f0-bc94-fdb5854cd006,1b01e9c1-2c5c-51e7-af9d-e55430da8588,on_time,05:34,
681e3c0c5571c3cd6e0f0174,bombilla,a9af07b2-1536-11f0-8a49-9a9b2b5b2b69,42a221c3-7286-500c-a614-919308639c60,kWh,0.01,
681e3c0c5571c3cd6e0f0174,bombilla,636f9db2-1562-11f0-8152-5cb690fd5fc6,42a221c3-7286-500c-a614-919308639c60,state,standby,
681e3c0c5571c3cd6e0f0174,bombilla,ecd39fb2-1563-11f0-91f0-4b84ba322621,42a221c3-7286-500c-a614-919308639c60,on_time,12:49,
681e3c0c5571c3cd6e0f0174,bombilla,ac3d4bb2-158e-11f0-8e46-48df193a6fb4,bee5942c-f0fc-5663-91aa-4ecc452592e8,kWh,0.013,
681e3c0c5571c3cd6e0f0174,bombilla,b64855b2-1560-11f0-90c5-d22962e157df,bee5942c-f0fc-5663-91aa-4ecc452592e8,state,modo eco,
681e3c0c5571c3cd6e0f0174,bombilla,1ba641b2-1575-11f0-8cc7-b98c8da37870,bee5942c-f0fc-5663-91aa-4ecc452592e8,on_time,03:19,
681e3c0c5571c3cd6e0f0174,bombilla,0cfd61b2-1558-11f0-afa2-a5ee854c2bcc,26c420e9-8dc6-5a3d-900f-f88373e72878,kWh,0.013,
681e3c0c5571c3cd6e0f0174,bombilla,e6e7b9b2-1577-11f0-80ff-289ecc1be172,26c420e9-8dc6-5a3d-900f-f88373e72878,state,standby,
681e3c0c5571c3cd6e0f0174,bombilla,0b736fb2-153f-11f0-b97e-7e6c1cbeeb3a,26c420e9-8dc6-5a3d-900f-f88373e72878,on_time,00:38,
681e3c0c5571c3cd6e0f0174,cerradura,ff1603b2-158c-11f0-90c7-e19aed4fd80e,8bfbd67e-4fc5-5e37-8055-d959e486f75c,intentos_forcejeo,4,
681e3c0c5571c3cd6e0f0174,cerradura,58def3b2-15b6-11f0-896e-1db4fa8f0333,8bfbd67e-4fc5-5e37-8055-d959e486f75c,hora_apertura,2025-04-10 05:32:56.772293,
681e3c0c5571c3cd6e0f0174,aspiradora,3e2265b2-1549-11f0-8060-c9fc743053ee,ab8858fe-942a-5935-8b0f-581bf8d94701,kWh,0.667,
681e3c0c5571c3cd6e0f0174,aspiradora,b60585b2-1573-11f0-aa04-8992d2a3f982,ab8858fe-942a-5935-8b0f-581bf8d94701,ruta,completa,
681e3c0c5571c3cd6e0f0174,aspiradora,e7239bb2-15ef-11f0-9e71-1b92eb4eeea1,ab8858fe-942a-5935-8b0f-581bf8d94701,state,standby,
681e3c0c5571c3cd6e0f0174,refrigerador,6efdabb2-15d8-11f0-b838-c635c76f7a68,e6ef5c79-bea8-5be4-91c5-db0563237cce,kWh,0.385,
681e3c0c5571c3cd6e0f0174,refrigerador,a69435b2-158f-11f0-bfd8-930142e248ab,e6ef5c79-bea8-5be4-91c5-db0563237cce,celsius,23.2,
681e3c0c5571c3cd6e0f0174,refrigerador,105415b2-1577-11f0-94f6-bfa5a38fb90d,e6ef5c79-bea8-5be4-91c5-db0563237cce,door_open_time,10:16,
681e3c0c5571c3cd6e0f0174,refrigerador,52318bb2-1578-11f0-a391-1979b4260904,82e9433d-99c0-5a97-9b36-2053fb79e95b,kWh,0.485,
681e3c0c5571c3cd6e0f0174,refrigerador,7630b3b2-15f0-11f0-9631-1f7fcbc433b5,82e9433d-99c0-5a97-9b36-2053fb79e95b,celsius,19.3,
681e3c0c5571c3cd6e0f0174,refrigerador,d9c8cbb2-1573-11f0-9250-a7970d6ae7fa,82e9433d-99c0-5a97-9b36-2053fb79e95b,door_open_time,06:54,
681e3c0c5571c3cd6e0f01b8,aire_acondicionado,5921c3b2-15a3-11f0-8a06-a2da3a90f5d8,576f5253-7ba0-5d11-9a93-c18bdbe3c851,celsius,25.5,
681e3c0c5571c3cd6e0f01b8,aire_acondicionado,ab7bc9b2-153c-11f0-a6cf-343b4ddb3d00,576f5253-7ba0-5d11-9a93-c18bdbe3c851,kWh,1.689,
681e3c0c5571c3cd6e0f01b8,aire_acondicionado,41bbe9b2-1555-11f0-ba69-fe5dc3eb6372,576f5253-7ba0-5d11-9a93-c18bdbe3c851,locacion,dormitorio secundario,
681e3c0c5571c3cd6e0f01b8,aire_acondicionado,70d15bb2-1553-11f0-a01e-6e21f5f9dd23,576f5253-7ba0-5d11-9a93-c18bdbe3c851,state,encendido,
681e3c0c5571c3cd6e0f01b8,aire_acondicionado,674bf1b2-155b-11f0-9a9d-7b0cc05d6f0c,576f5253-7ba0-5d11-9a93-c18bdbe3c851,on_time,00:52,
681e3c0c5571c3cd6e0f01b8,bombilla,70879db2-15f1-11f0-babb-332ae1233c6a,8304370f-a5d3-536e-bf4e-c5962d6ed5e8,kWh,0.011,
681e3c0c5571c3cd6e0f01b8,bombilla,6011fbb2-15ce-11f0-be5d-250d6fed262e,8304370f-a5d3-536e-bf4e-c5962d6ed5e8,state,modo eco,
681e3c0c5571c3cd6e0f01b8,bombilla,9136ffb2-15bf-11f0-b133-c5b6d6793867,8304370f-a5d3-536e-bf4e-c5962d6ed5e8,on_time,10:50,
681e3c0c5571c3cd6e0f01b8,bombilla,41bbe9b2-1555-11f0-8658-8f560487144c,a51369cf-77d5-5080-830a-36ddeb7e0613,kWh,0.006,
681e3c0c5571c3cd6e0f01b8,bombilla,10d2c7b2-15dc-11f0-99ce-bf07f19b309f,a51369cf-77d5-5080-830a-36ddeb7e0613,state,error,
681e3c0c5571c3cd6e0f01b8,bombilla,657f2fb2-1555-11f0-8724-6be3aef12bdb,a51369cf-77d5-5080-830a-36ddeb7e0613,on_time,11:48,
681e3c0c5571c3cd6e0f01b8,bombilla,f81eddb2-15ec-11f0-ac57-9bbccea02743,095ee7bd-e4bc-5821-aa8e-0a4e3e21dcc6,kWh,0.011,
681e3c0c5571c3cd6e0f01b8,bombilla,05c36bb2-15cb-11f0-a068-d1c367490b74,095ee7bd-e4bc-5821-aa8e-0a4e3e21dcc6,state,standby,
681e3c0c5571c3cd6e0f01b8,bombilla,da913bb2-153a-11f0-918b-49f05649b729,095ee7bd-e4bc-5821-aa8e-0a4e3e21dcc6,on_time,05:45,
681e3c0c5571c3cd6e0f01b8,bombilla,1eba25b2-15a7-11f0-a39f-91b380d16b55,ced19a11-6d4d-5882-a028-6c85bb0d07c2,kWh,0.01,
681e3c0c5571c3cd6e0f01b8,bombilla,9494a1b2-1553-11f0-a60d-b8331ff2dd42,ced19a11-6d4d-5882-a028-6c85bb0d07c2,state,apagado,
681e3c0c5571c3cd6e0f01b8,bombilla,777ec3b2-1591-11f0-b835-45e43769badd,ced19a11-6d4d-5882-a028-6c85bb0d07c2,on_time,05:12,
681e3c0c5571c3cd6e0f01b8,bombilla,e45287b2-15aa-11f0-b425-eb6b2e38d9b7,b44c91f6-b19a-572c-8a84-082e9db04de3,kWh,0.012,
681e3c0c5571c3cd6e0f01b8,bombilla,3b0793b2-15a2-11f0-ba18-0c605ebc8204,b44c91f6-b19a-572c-8a84-082e9db04de3,state,encendido,
681e3c0c5571c3cd6e0f01b8,bombilla,581d71b2-1564-11f0-b476-b3d135c03a0c,b44c91f6-b19a-572c-8a84-082e9db04de3,on_time,02:31,
681e3c0c5571c3cd6e0f01b8,cerradura,07971bb2-1546-11f0-ba50-08e3c4738b71,3ae69a49-d6d1-5db4-bb7a-0a163e0705ed,intentos_forcejeo,,
681e3c0c5571c3cd6e0f01b8,cerradura,8ea1cdb2-15f2-11f0-8e55-f25ba18a158f,3ae69a49-d6d1-5db4-bb7a-0a163e0705ed,hora_apertura,2025-04-10 02:27:56.772293,
681e3c0c5571c3cd6e0f01b8,refrigerador,24633bb2-15a6-11f0-910c-f9d711ea3141,fd5715da-a049-5a81-bd64-085a751c1104,kWh,0.342,
681e3c0c5571c3cd6e0f01b8,refrigerador,948db3b2-15de-11f0-86b5-16c5e5963c0d,fd5715da-a049-5a81-bd64-085a751c1104,celsius,22.6,
681e3c0c5571c3cd6e0f01b8,refrigerador,016177b2-15f8-11f0-a8fd-c087c3db9b4f,fd5715da-a049-5a81-bd64-085a751c1104,door_open_time,08:47,
681e3c0c5571c3cd6e0f01e6,aire_acondicionado,699e53b2-153b-11f0-bc88-d2458b5a302d,7cd1dfae-34d0-50a5-bfb1-7b99ce9ffa75,celsius,28.9,
681e3c0c5571c3cd6e0f01e6,aire_acondicionado,bfc6d1b2-15e3-11f0-900e-a621ba4a31b6,7cd1dfae-34d0-50a5-bfb1-7b99ce9ffa75,kWh,1.339,
681e3c0c5571c3cd6e0f01e6,aire_acondicionado,710d3db2-15cb-11f0-ace4-f7f5eb2f1f22,7cd1dfae-34d0-50a5-bfb1-7b99ce9ffa75,locacion,sala,
681e3c0c5571c3cd6e0f01e6,aire_acondicionado,e51409b2-15fc-11f0-82bf-371b5598c51f,7cd1dfae-34d0-50a5-bfb1-7b99ce9ffa75,state,apagado,
681e3c0c5571c3cd6e0f01e6,aire_acondicionado,6df959b2-1599-11f0-a34d-f541c1532b55,7cd1dfae-34d0-50a5-bfb1-7b99ce9ffa75,on_time,03:14,
681e3c0c5571c3cd6e0f01e6,bombilla,657f2fb2-1555-11f0-bf89-434e68f19566,5e82e161-b035-527f-9b2a-082e2fb74249,kWh,0.014,
681e3c0c5571c3cd6e0f01e6,bombilla,13aac9b2-1596-11f0-ae66-0f616d542389,5e82e161-b035-527f-9b2a-082e2fb74249,state,apagado,
681e3c0c5571c3cd6e0f01e6,bombilla,b78f77b2-158c-11f0-aa68-f315afa3d482,5e82e161-b035-527f-9b2a-082e2fb74249,on_time,10:22,
681e3c0c5571c3cd6e0f01e6,bombilla,1b20a1b2-159b-11f0-a5b0-7f94291a2fc1,493f5e53-5208-5c2b-989d-e32a179b8c46,kWh,0.006,
681e3c0c5571c3cd6e0f01e6,bombilla,d35745b2-15ad-11f0-9fa7-f7fb678d3ba7,493f5e53-5208-5c2b-989d-e32a179b8c46,state,encendido,
681e3c0c5571c3cd6e0f01e6,bombilla,731ccfb2-15be-11f0-807c-d8d29cf46a63,493f5e53-5208-5c2b-989d-e32a179b8c46,on_time,12:26,
681e3c0c5571c3cd6e0f01e6,bombilla,23a1b9b2-1554-11f0-8a3c-6541c03efc4c,22f31f34-01ae-59b2-b456-4d88aeac504b,kWh,0.013,
681e3c0c5571c3cd6e0f01e6,bombilla,f13593b2-1536-11f0-addf-c5846f3a6ca7,22f31f34-01ae-59b2-b456-4d88aeac504b,state,error,
681e3c0c5571c3cd6e0f01e6,bombilla,e38a17b2-15e3-11f0-b796-67e979bd2e1d,22f31f34-01ae-59b2-b456-4d88aeac504b,on_time,04:07,
681e3c0c5571c3cd6e0f01e6,bombilla,70879db2-15f1-11f0-a11d-09cb89f43afa,5c148fd4-010d-5e81-9a6f-8013408be79c,kWh,0.011,
681e3c0c5571c3cd6e0f01e6,bombilla,486951b2-1593-11f0-9160-6c6a263ce7af,5c148fd4-010d-5e81-9a6f-8013408be79c,state,modo eco,
681e3c0c5571c3cd6e0f01e6,bombilla,5a2615b2-15e2-11f0-b299-2aef155b2c88,5c148fd4-010d-5e81-9a6f-8013408be79c,on_time,06:29,
681e3c0c5571c3cd6e0f01e6,bombilla,af93ffb2-15ad-11f0-a075-262af7deb86c,d9c6eedb-0247-5005-b452-bfc6ab2edba1,kWh,0.009,
681e3c0c5571c3cd6e0f01e6,bombilla,0f0cf3b2-154b-11f0-b3d1-a69fa0b78e07,d9c6eedb-0247-5005-b452-bfc6ab2edba1,state,modo eco,
681e3c0c5571c3cd6e0f01e6,bombilla,9d0ecbb2-1597-11f0-b9ff-186be0b03654,d9c6eedb-0247-5005-b452-bfc6ab2edba1,on_time,03:58,
681e3c0c5571c3cd6e0f01e6,aspiradora,729e1db2-1559-11f0-b117-222fdbcc927e,71ea52b0-db62-5026-abf3-3696372f8123,kWh,0.322,
681e3c0c5571c3cd6e0f01e6,aspiradora,7a9995b2-1538-11f0-b145-5a32f2f882ce,71ea52b0-db62-5026-abf3-3696372f8123,ruta,personalizada,
681e3c0c5571c3cd6e0f01e6,aspiradora,d77669b2-1593-11f0-9b62-634182a10ef1,71ea52b0-db62-5026-abf3-3696372f8123,state,modo eco,
681e3c0c5571c3cd6e0f01e6,refrigerador,1a1561b2-15e7-11f0-94fa-84966c40eb34,0ed76e07-0563-5b1a-9327-5d16c18b4d81,kWh,0.424,
681e3c0c5571c3cd6e0f01e6,refrigerador,948db3b2-15de-11f0-9707-b8b641045022,0ed76e07-0563-5b1a-9327-5d16c18b4d81,celsius,28.6,
681e3c0c5571c3cd6e0f01e6,refrigerador,dc570fb2-15cb-11f0-b9e8-552f105c46c3,0ed76e07-0563-5b1a-9327-5d16c18b4d81,door_open_time,09:03,
681e3c0c5571c3cd6e0f0240,aire_acondicionado,14b609b2-154a-11f0-8af8-762a1b745d45,d6b5c072-11e9-5102-84df-0457fe6413ae,celsius,29.4,
681e3c0c5571c3cd6e0f0240,aire_acondicionado,3a3f23b2-15db-11f0-a938-d275efd9844a,d6b5c072-11e9-5102-84df-0457fe6413ae,kWh,1.114,
681e3c0c5571c3cd6e0f0240,aire_acondicionado,cf3821b2-15c7-11f0-8334-735c11d2877a,d6b5c072-11e9-5102-84df-0457fe6413ae,locacion,sala,
681e3c0c5571c3cd6e0f0240,aire_acondicionado,704bbbb2-1579-11f0-82d9-2077b4398f1e,d6b5c072-11e9-5102-84df-0457fe6413ae,state,modo eco,
681e3c0c5571c3cd6e0f0240,aire_acondicionado,fa355db2-1554-11f0-abe3-0f5ef238c06c,d6b5c072-11e9-5102-84df-0457fe6413ae,on_time,01:41,
681e3c0c5571c3cd6e0f0240,bombilla,6640b1b2-15a7-11f0-a983-9bffb3293c5e,1f3a3fbd-a4e1-5eda-9d8b-6c3849f8db5d,kWh,0.009,
681e3c0c5571c3cd6e0f0240,bombilla,17c9edb2-157c-11f0-8b48-73e36d18d539,1f3a3fbd-a4e1-5eda-9d8b-6c3849f8db5d,state,encendido,
681e3c0c5571c3cd6e0f0240,bombilla,af0e5fb2-15d3-11f0-bd2d-33b8211a1642,1f3a3fbd-a4e1-5eda-9d8b-6c3849f8db5d,on_time,06:12,
681e3c0c5571c3cd6e0f0240,bombilla,1e3b73b2-1542-11f0-9880-2473aa5ba023,69e6d191-6a1f-5e73-b798-06b2942b32b8,kWh,0.011,
681e3c0c5571c3cd6e0f0240,bombilla,07d2fdb2-15be-11f0-8c4a-b254682a856d,69e6d191-6a1f-5e73-b798-06b2942b32b8,state,standby,
681e3c0c5571c3cd6e0f0240,bombilla,2b5373b2-15d1-11f0-b107-870580ba9e90,69e6d191-6a1f-5e73-b798-06b2942b32b8,on_time,06:06,
681e3c0c5571c3cd6e0f0240,bombilla,cb18fdb2-15e1-11f0-b212-ee71dde3dfcc,c7212d0a-5767-587d-b063-5950752b25f1,kWh,0.013,
681e3c0c5571c3cd6e0f0240,bombilla,0fce75b2-159d-11f0-8acd-53542165b6eb,c7212d0a-5767-587d-b063-5950752b25f1,state,encendido,
681e3c0c5571c3cd6e0f0240,bombilla,72972fb2-15e4-11f0-821c-1cfdec2f91e9,c7212d0a-5767-587d-b063-5950752b25f1,on_time,12:06,
681e3c0c5571c3cd6e0f0240,bombilla,98acd7b2-15c4-11f0-9a3f-e6a5264f1f00,af2401a6-1483-5341-bfd1-f24843d63c52,kWh,0.013,
681e3c0c5571c3cd6e0f0240,bombilla,37b0dfb2-1583-11f0-90cb-545f2b742b13,af2401a6-1483-5341-bfd1-f24843d63c52,state,standby,
681e3c0c5571c3cd6e0f0240,bombilla,731ccfb2-15be-11f0-afd9-39bcf3ff7a71,af2401a6-1483-5341-bfd1-f24843d63c52,on_time,01:27,
681e3c0c5571c3cd6e0f0240,bombilla,a96c37b2-1549-11f0-bc92-2d0f45bd1819,93312023-16ee-5c60-b9b5-c535f23bd8f5,kWh,0.015,
681e3c0c5571c3cd6e0f0240,bombilla,26f17fb2-15fe-11f0-beff-772f2d6fc76c,93312023-16ee-5c60-b9b5-c535f23bd8f5,state,modo eco,
681e3c0c5571c3cd6e0f0240,bombilla,2b10a3b2-15e4-11f0-a841-df42d134d577,93312023-16ee-5c60-b9b5-c535f23bd8f5,on_time,05:02,
681e3c0c5571c3cd6e0f0240,bombilla,2b9643b2-15be-11f0-9be7-e7ed4bdfe277,0e1743a3-98a9-56ea-86cf-b91175e84c74,kWh,0.005,
681e3c0c5571c3cd6e0f0240,bombilla,c19393b2-15e9-11f0-8cef-9e72ee32b3b2,0e1743a3-98a9-56ea-86cf-b91175e84c74,state,encendido,
681e3c0c5571c3cd6e0f0240,bombilla,c04c71b2-15bd-11f0-94bf-15b374b48779,0e1743a3-98a9-56ea-86cf-b91175e84c74,on_time,12:05,
681e3c0c5571c3cd6e0f0240,bombilla,f8a47db2-15c6-11f0-8bfc-93d6336fa7a2,adabef90-9f4b-5b4d-9c28-f1f479458256,kWh,0.01,
681e3c0c5571c3cd6e0f0240,bombilla,3fac57b2-1562-11f0-9450-ae06d72748a9,adabef90-9f4b-5b4d-9c28-f1f479458256,state,standby,
681e3c0c5571c3cd6e0f0240,bombilla,8775b3b2-154f-11f0-88ca-53cfa031031b,adabef90-9f4b-5b4d-9c28-f1f479458256,on_time,03:09,
681e3c0c5571c3cd6e0f0240,refrigerador,f8a47db2-15c6-11f0-932f-14f31969de01,b02bcfaf-2399-55cc-8b0e-df99c1522a14,kWh,0.406,
681e3c0c5571c3cd6e0f0240,refrigerador,cc243db2-1595-11f0-aa05-d3e86c10c04e,b02bcfaf-2399-55cc-8b0e-df99c1522a14,celsius,18.4,
681e3c0c5571c3cd6e0f0240,refrigerador,0cfd61b2-1558-11f0-adb1-f23d21ea0078,b02bcfaf-2399-55cc-8b0e-df99c1522a14,door_open_time,07:57,
681e3c0c5571c3cd6e0f0292,aire_acondicionado,f2b897b2-15da-11f0-8ccf-d8ea4897888c,bdede794-bc13-54f3-8c60-30934c96e91b,celsius,17.2,
681e3c0c5571c3cd6e0f0292,aire_acondicionado,ff58d3b2-1579-11f0-bf5f-60c130779225,bdede794-bc13-54f3-8c60-30934c96e91b,kWh,2.146,
681e3c0c5571c3cd6e0f0292,aire_acondicionado,a755b7b2-15e1-11f0-907d-0697ba0d27ac,bdede794-bc13-54f3-8c60-30934c96e91b,locacion,estudio,
681e3c0c5571c3cd6e0f0292,aire_acondicionado,a54625b2-15ee-11f0-95d3-56664275cd3c,bdede794-bc13-54f3-8c60-30934c96e91b,state,encendido,
681e3c0c5571c3cd6e0f0292,aire_acondicionado,c1dd51b2-154b-11f0-8d65-bb8b78f21b97,bdede794-bc13-54f3-8c60-30934c96e91b,on_time,03:24,
681e3c0c5571c3cd6e0f0292,bombilla,b6c707b2-15c5-11f0-b34f-8ad324c8af4f,100b3f1b-7391-550d-96e4-2ad28fd7a74a,kWh,0.006,
681e3c0c5571c3cd6e0f0292,bombilla,6d30e9b2-15d2-11f0-a841-114499c08ff3,100b3f1b-7391-550d-96e4-2ad28fd7a74a,state,standby,
681e3c0c5571c3cd6e0f0292,bombilla,06063bb2-15b8-11f0-af1c-9642165b10ce,100b3f1b-7391-550d-96e4-2ad28fd7a74a,on_time,08:54,
681e3c0c5571c3cd6e0f0292,bombilla,db0fedb2-159f-11f0-9daf-5ce54a090c36,9e9d6ff5-076e-5adb-bbef-489649758952,kWh,0.009,
681e3c0c5571c3cd6e0f0292,bombilla,940f01b2-1579-11f0-96ef-d0eafb09bc45,9e9d6ff5-076e-5adb-bbef-489649758952,state,encendido,
681e3c0c5571c3cd6e0f0292,bombilla,0aaaffb2-1578-11f0-9019-b979161627ab,9e9d6ff5-076e-5adb-bbef-489649758952,on_time,04:20,
681e3c0c5571c3cd6e0f0292,bombilla,4c02d5b2-159f-11f0-b3c9-041294237975,76a69d67-7649-5a32-9d3a-1a91888f119b,kWh,0.011,
681e3c0c5571c3cd6e0f0292,bombilla,74f07fb2-1539-11f0-8e10-85c211f2d775,76a69d67-7649-5a32-9d3a-1a91888f119b,state,apagado,
681e3c0c5571c3cd6e0f0292,bombilla,c52d17b2-15f5-11f0-818d-6e6c10030994,76a69d67-7649-5a32-9d3a-1a91888f119b,on_time,06:28,
